videoId,channelTitle,publishedAt,channelId,title,description,thumbnails,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,scrape_date
UUoJlG7-muY,Snow Man,2021-05-19T08:00:18Z,UCuFPaemAaMR8R5cHzjy23dQ,Snow Man「卓上玉入れ!?」こんな阿部ちゃん見たことない…,どうも！Snow Manです。 新種のボードゲーム に挑戦です！ 「ボードゲームやりまあ⤴︎す！」の人は今回いませんが…。 「バウンス・オフ」という卓上玉入れゲームをやって ...,"{'default': {'url': 'https://i.ytimg.com/vi/UUoJlG7-muY/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/UUoJlG7-muY/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/UUoJlG7-muY/hqdefault.jpg', 'width': 480, 'height': 360}}",1415559,,,0,6155,20210621
X4Qlr9BqEY8,神木隆之介Official リュウチューブ,2020-08-27T11:00:30Z,UC2yr1vqgbAo6I8cBgnaFMtA,＃１０「神木＆梶、はぁって言うゲームやるってよ」,今回の『リュウチューブ』も、 前回に引き続き、声優の梶裕貴さんを迎えてお送りいたします♪ 第２回コラボ企画の動画では、 ”はぁって言うゲーム”(※)で大盛り上がり！,"{'default': {'url': 'https://i.ytimg.com/vi/X4Qlr9BqEY8/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/X4Qlr9BqEY8/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/X4Qlr9BqEY8/hqdefault.jpg', 'width': 480, 'height': 360}}",1410692,38999,211,0,834,20210621
siVHcoKNfY4,ジャニーズJr.チャンネル,2018-05-16T11:00:04Z,UC1cHlPIE-kqiPvpyYz2O8rQ,Snow Man 話題！【ボードゲームカフェ】に行ってみた,どうもSnow Manです！ 以前、僕たちの動画で超盛り上がったボードゲーム「クイズいいセン行きまSHOW!」。 そこで今回は、実際にボードゲームカフェに行っちゃおう！,"{'default': {'url': 'https://i.ytimg.com/vi/siVHcoKNfY4/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/siVHcoKNfY4/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/siVHcoKNfY4/hqdefault.jpg', 'width': 480, 'height': 360}}",1357314,,,0,1015,20210621
ACCc8E-1u2o,QuizKnock,2017-12-14T09:44:08Z,UCQ_MqAw18jFTlBB-f8BP7dw,時代推理ボードゲーム！東大生でやったらどうなる？【ボドゲ実況】,年代を推測するゲーム「タイムライン」を東大生3人がプレイ！ クイズ王の実力やいかに…？ タイムラインはこちら↓ https://goo.gl/FqLwbi ◇今回の質問 東大王のメンバー ...,"{'default': {'url': 'https://i.ytimg.com/vi/ACCc8E-1u2o/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/ACCc8E-1u2o/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/ACCc8E-1u2o/hqdefault.jpg', 'width': 480, 'height': 360}}",1129675,12125,162,0,567,20210621
hA0DJiZCcaI,HIMAWARIちゃんねる,2020-05-06T08:00:25Z,UCJ98lzh2QJGp37QgWPUcwrQ,おーちゃんにも簡単！！ブロックス！家族でワイワイボードゲーム♪himawari-CH,ボードゲーム #ひまわりチャンネル #まーちゃんおーちゃん 【HIMAWARIちゃんねるオリジナルグッズ】 ご購入はこちら→https://muuu.com/videos/4dc66749930c0724 ーー ...,"{'default': {'url': 'https://i.ytimg.com/vi/hA0DJiZCcaI/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/hA0DJiZCcaI/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/hA0DJiZCcaI/hqdefault.jpg', 'width': 480, 'height': 360}}",1119074,5812,1008,0,,20210621
I343eRYfXTo,Snow Man,2021-06-02T08:00:04Z,UCuFPaemAaMR8R5cHzjy23dQ,Snow Man「ボードゲーム!?」やっぱり佐久間っしょ…,どうも！Snow Manです。 今回は、満をじして…本家「ボードゲームやりまあ⤴︎す！」の佐久間登場です！ 「ドリームオン」というボードゲームに挑戦です！ ストーリーを考え ...,"{'default': {'url': 'https://i.ytimg.com/vi/I343eRYfXTo/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/I343eRYfXTo/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/I343eRYfXTo/hqdefault.jpg', 'width': 480, 'height': 360}}",1091227,,,0,4847,20210621
NPaeq82tLds,花江夏樹,2020-08-04T10:00:08Z,UC3C3YOGFjn7Pq3lOCeUFHfg,【世界のアソビ大全】運と駆け引きのボードゲーム『ルドー』,▽あらすじ 今回は、世界のアソビ大全51から 『ルドー』をプレイしていきます！ 単純なようで頭脳を使う熱いゲームを４人で遊びます！ ▽出演者 花江夏樹 しるこ ミントス 正 ...,"{'default': {'url': 'https://i.ytimg.com/vi/NPaeq82tLds/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/NPaeq82tLds/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/NPaeq82tLds/hqdefault.jpg', 'width': 480, 'height': 360}}",925491,17566,148,0,645,20210621
YX2i1nBBO3Y,オーイシ加藤のピザラジオ（ピザラジ）,2021-03-17T17:05:29Z,UCeWZN7rNRQaHCtMCdHEZFqw,オーイシ×加藤のボドゲ王 ピザラジSP,5:54 開始 誰が一番ボードゲームがうまいのか？ボドゲ王の称号をかけて真剣勝負します！ サブルーム（ニコニコ生放送プレミアム限定放送） 2組に別れてプレイする際に ...,"{'default': {'url': 'https://i.ytimg.com/vi/YX2i1nBBO3Y/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/YX2i1nBBO3Y/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/YX2i1nBBO3Y/hqdefault.jpg', 'width': 480, 'height': 360}}",785606,9857,335,0,1758,20210621
0Wvt73PS9gk,Kuzuha Channel,2020-08-01T14:15:57Z,UCSFCh5NL4qXrAy9u-u2lX3g,【重大告知！】ボードゲーム祭り【#どくずほんしゃ】,の4人の頭をとってド葛本社 天真爛漫で自由なひまわりは娘 マイペースで吸血鬼な葛葉は息子 27歳プログラマーで社畜な社築は父親 世話焼きファイアードレイクは母親 ...,"{'default': {'url': 'https://i.ytimg.com/vi/0Wvt73PS9gk/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/0Wvt73PS9gk/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/0Wvt73PS9gk/hqdefault.jpg', 'width': 480, 'height': 360}}",751889,23334,271,0,325,20210621
cVvbw6cqh8A,HIMAWARIちゃんねる,2020-10-16T08:00:18Z,UCJ98lzh2QJGp37QgWPUcwrQ,最強効果音！数値を予測せよ！超難関！テレパシーゲーム！？家族で協力してゲームクリアを目指す！ito(イト)ボードゲームhimawari-CH,ボードゲーム #ひまわりチャンネル #まーちゃんおーちゃん 新曲『SUNSUN サマー！』のDLはこちら♡ https://big-up.style/3m13v0X3l8 【HIMAWARIちゃんねるオリジナル ...,"{'default': {'url': 'https://i.ytimg.com/vi/cVvbw6cqh8A/default.jpg', 'width': 120, 'height': 90}, 'medium': {'url': 'https://i.ytimg.com/vi/cVvbw6cqh8A/mqdefault.jpg', 'width': 320, 'height': 180}, 'high': {'url': 'https://i.ytimg.com/vi/cVvbw6cqh8A/hqdefault.jpg', 'width': 480, 'height': 360}}",744874,2824,233,0,,20210621
